order_id,date,region,category,channel,units,unit_price,revenue,cost
5001,2024-10-01,West,Home & Kitchen,Online,3,62.9,188.69,116.73
5002,2024-10-01,West,Apparel,Online,4,44.76,179.03,105.17
5003,2024-10-01,West,Electronics,Online,1,199.09,199.09,116.1
5004,2024-10-01,West,Electronics,In-Store,3,161.93,485.79,275.59
5005,2024-10-01,East,Beauty,In-Store,1,27.86,29.26,18.43
5006,2024-10-01,West,Apparel,Online,1,39.9,39.9,25.93
5007,2024-10-01,South,Home & Kitchen,Online,4,50.33,151.0,88.6
5008,2024-10-01,West,Apparel,Online,2,47.53,95.05,63.48
5009,2024-10-01,North,Beauty,Online,3,33.07,114.07,66.58
5010,2024-10-01,South,Home & Kitchen,Online,2,74.23,111.35,68.83
5011,2024-10-01,East,Sports,In-Store,4,57.77,242.65,151.04
5012,2024-10-01,West,Electronics,Online,2,158.92,317.83,194.32
5013,2024-10-01,West,Electronics,Online,1,215.78,215.78,132.76
5014,2024-10-02,West,Apparel,Online,3,40.21,120.64,78.84
5015,2024-10-02,East,Apparel,In-Store,3,46.57,146.7,85.8
5016,2024-10-02,North,Apparel,Online,1,43.73,50.29,30.77
5017,2024-10-02,West,Beauty,Online,4,27.79,111.14,67.96
5018,2024-10-02,South,Sports,In-Store,4,69.85,209.56,137.63
5019,2024-10-02,West,Electronics,Online,2,171.75,343.5,215.13
5020,2024-10-02,North,Beauty,In-Store,4,32.17,148.0,83.95
5021,2024-10-02,North,Home & Kitchen,Online,3,63.99,220.77,127.75
5022,2024-10-02,East,Home & Kitchen,Online,2,80.56,169.17,96.76
5023,2024-10-02,West,Sports,Online,2,47.23,94.46,56.76
5024,2024-10-02,West,Apparel,In-Store,2,46.61,93.23,54.69
5025,2024-10-02,West,Electronics,Online,4,187.67,750.7,510.41
5026,2024-10-02,East,Apparel,Online,4,50.1,210.4,119.4
5027,2024-10-03,West,Sports,Online,4,53.62,214.47,124.73
5028,2024-10-03,North,Beauty,Online,3,26.12,90.1,59.78
5029,2024-10-03,North,Apparel,Online,2,55.02,126.54,73.11
5030,2024-10-03,South,Beauty,Online,2,26.4,39.6,22.71
5031,2024-10-03,East,Home & Kitchen,Online,1,70.37,73.88,48.03
5032,2024-10-03,South,Sports,Mobile App,3,66.69,150.05,98.68
5033,2024-10-03,North,Apparel,Online,4,56.33,259.11,159.75
5034,2024-10-03,North,Electronics,In-Store,3,225.81,779.03,496.56
5035,2024-10-03,East,Home & Kitchen,Online,3,70.25,221.3,125.98
5036,2024-10-03,North,Beauty,Online,2,23.08,53.09,30.5
5037,2024-10-03,South,Electronics,In-Store,1,133.24,99.93,63.56
5038,2024-10-03,North,Apparel,In-Store,4,39.66,182.43,115.27
5039,2024-10-04,North,Beauty,In-Store,2,27.57,63.41,39.57
5040,2024-10-04,West,Apparel,In-Store,2,44.72,89.45,58.91
5041,2024-10-04,North,Home & Kitchen,Online,2,63.66,146.43,86.08
5042,2024-10-04,East,Beauty,Online,3,28.76,90.59,50.24
5043,2024-10-04,West,Home & Kitchen,Mobile App,3,57.43,172.3,111.03
5044,2024-10-04,West,Apparel,Online,1,49.39,49.39,29.49
5045,2024-10-04,West,Apparel,Mobile App,3,38.12,114.37,72.08
5046,2024-10-04,South,Home & Kitchen,Mobile App,4,62.88,188.65,111.07
5047,2024-10-04,West,Electronics,In-Store,4,195.19,780.75,459.31
5048,2024-10-04,East,Beauty,In-Store,1,27.53,28.9,17.86
5049,2024-10-04,North,Electronics,Online,3,187.77,647.8,437.44
5050,2024-10-05,North,Beauty,Online,2,28.36,65.23,36.28
5051,2024-10-05,South,Home & Kitchen,Mobile App,2,43.58,65.37,43.35
5052,2024-10-05,West,Electronics,In-Store,4,194.83,779.32,438.53
5053,2024-10-05,South,Home & Kitchen,Online,3,62.28,140.14,81.81
5054,2024-10-05,North,Apparel,In-Store,3,38.7,133.52,75.23
5055,2024-10-05,North,Sports,Online,4,47.74,219.58,146.68
5056,2024-10-05,East,Apparel,In-Store,1,47.75,50.13,31.96
5057,2024-10-05,North,Apparel,Mobile App,2,38.63,88.84,59.37
5058,2024-10-05,East,Beauty,Mobile App,2,30.75,64.57,41.73
5059,2024-10-05,North,Home & Kitchen,In-Store,2,59.6,137.07,92.39
5060,2024-10-05,South,Home & Kitchen,Online,4,64.28,192.84,124.46
5061,2024-10-05,West,Beauty,Mobile App,4,30.14,120.55,72.82
5062,2024-10-05,West,Apparel,Mobile App,2,43.01,86.01,50.38
5063,2024-10-06,West,Electronics,In-Store,3,182.75,548.24,370.09
5064,2024-10-06,West,Electronics,Mobile App,3,165.4,496.19,313.28
5065,2024-10-06,East,Beauty,Online,4,29.63,124.46,73.86
5066,2024-10-06,West,Electronics,In-Store,3,136.51,409.52,268.2
5067,2024-10-06,East,Apparel,Online,1,41.41,43.48,26.18
5068,2024-10-06,East,Electronics,In-Store,4,184.06,773.03,505.8
5069,2024-10-06,West,Sports,Online,3,48.33,145.0,95.5
5070,2024-10-06,West,Sports,Online,2,44.14,88.28,49.11
5071,2024-10-06,West,Apparel,Online,4,37.01,148.03,95.9
5072,2024-10-06,North,Apparel,In-Store,1,43.53,50.05,28.42
5073,2024-10-06,North,Apparel,Online,3,37.46,129.22,82.57
5074,2024-10-07,West,Apparel,Mobile App,1,48.62,48.62,32.19
5075,2024-10-07,East,Apparel,In-Store,1,42.26,44.37,25.19
5076,2024-10-07,West,Sports,Online,1,49.01,49.01,27.75
5077,2024-10-07,East,Apparel,Online,2,39.28,82.5,49.48
5078,2024-10-07,South,Home & Kitchen,In-Store,1,62.47,46.85,26.77
5079,2024-10-07,North,Electronics,Online,2,180.91,416.08,279.49
5080,2024-10-07,North,Beauty,Online,4,25.6,117.78,71.92
5081,2024-10-07,North,Home & Kitchen,In-Store,3,68.24,235.44,154.03
5082,2024-10-07,East,Sports,Online,4,57.14,239.99,151.65
5083,2024-10-07,South,Sports,Online,2,55.67,83.51,48.63
5084,2024-10-07,West,Home & Kitchen,In-Store,4,58.97,235.89,144.35
5085,2024-10-07,North,Apparel,Online,2,47.71,109.73,60.95
5086,2024-10-07,East,Apparel,Online,1,51.09,53.64,33.74
5087,2024-10-07,South,Electronics,Mobile App,4,187.68,563.03,341.43
5088,2024-10-08,East,Home & Kitchen,Mobile App,3,48.88,153.97,95.13
5089,2024-10-08,North,Electronics,Online,1,157.56,181.2,112.86
5090,2024-10-08,West,Home & Kitchen,Online,4,49.73,198.92,114.03
5091,2024-10-08,West,Sports,Online,3,55.85,167.56,107.8
5092,2024-10-08,West,Home & Kitchen,Online,1,66.83,66.83,40.55
5093,2024-10-08,North,Apparel,Online,3,47.11,162.53,103.44
5094,2024-10-08,West,Electronics,In-Store,3,165.66,496.99,298.71
5095,2024-10-08,North,Home & Kitchen,Online,4,64.35,296.0,189.91
5096,2024-10-08,South,Apparel,Mobile App,2,46.82,70.23,45.07
5097,2024-10-08,East,Sports,Online,4,51.37,215.74,138.73
5098,2024-10-08,West,Sports,Online,4,62.25,249.0,159.58
5099,2024-10-08,West,Apparel,Online,1,39.86,39.86,24.11
5100,2024-10-08,North,Home & Kitchen,Online,1,66.94,76.98,44.59
5101,2024-10-08,South,Home & Kitchen,Mobile App,2,72.1,108.15,63.96
5102,2024-10-09,North,Electronics,Online,3,172.39,594.76,327.13
5103,2024-10-09,West,Electronics,In-Store,3,195.19,585.57,332.05
5104,2024-10-09,North,Electronics,Online,3,196.13,676.66,374.93
5105,2024-10-09,South,Beauty,Online,3,25.2,56.71,31.55
5106,2024-10-09,East,Apparel,Mobile App,1,49.92,52.42,31.49
5107,2024-10-09,North,Beauty,Online,1,24.78,28.5,15.68
5108,2024-10-09,East,Beauty,In-Store,2,25.21,52.95,30.95
5109,2024-10-09,South,Sports,Online,4,52.16,156.49,86.51
5110,2024-10-09,North,Electronics,In-Store,2,158.62,364.84,233.72
5111,2024-10-09,North,Electronics,Online,3,186.5,643.42,364.66
5112,2024-10-09,North,Sports,Mobile App,2,49.16,113.06,68.32
5113,2024-10-09,South,Apparel,Online,2,43.48,65.22,36.16
5114,2024-10-09,East,Beauty,Mobile App,4,28.65,120.34,80.52
5115,2024-10-09,West,Electronics,Online,2,161.46,322.93,207.84
5116,2024-10-09,North,Sports,In-Store,4,54.62,251.24,168.31
5117,2024-10-09,East,Sports,Online,3,57.43,180.91,121.27
5118,2024-10-10,North,Electronics,In-Store,1,177.18,203.76,122.22
5119,2024-10-10,North,Apparel,In-Store,1,40.14,46.16,28.1
5120,2024-10-10,South,Beauty,Mobile App,3,23.12,52.03,33.57
5121,2024-10-10,North,Home & Kitchen,In-Store,4,68.98,317.33,196.07
5122,2024-10-10,East,Electronics,In-Store,3,224.61,707.53,418.8
5123,2024-10-10,West,Electronics,Online,4,199.89,799.57,520.23
5124,2024-10-10,East,Home & Kitchen,Mobile App,3,57.44,180.94,107.19
5125,2024-10-10,West,Home & Kitchen,Online,3,73.58,220.75,144.77
5126,2024-10-10,East,Apparel,Online,3,42.9,135.12,84.35
5127,2024-10-10,East,Electronics,Online,4,183.06,768.85,444.45
5128,2024-10-10,East,Electronics,In-Store,1,198.09,208.0,127.69
5129,2024-10-11,North,Apparel,In-Store,1,47.41,54.52,30.33
5130,2024-10-11,East,Beauty,Online,4,26.96,113.25,65.06
5131,2024-10-11,East,Beauty,In-Store,2,25.15,52.81,32.54
5132,2024-10-11,East,Apparel,Online,2,46.25,97.12,55.9
5133,2024-10-11,North,Sports,Online,3,50.79,175.24,103.2
5134,2024-10-11,East,Home & Kitchen,Online,2,56.94,119.57,69.4
5135,2024-10-11,North,Apparel,In-Store,3,45.32,156.36,89.66
5136,2024-10-11,East,Apparel,Online,3,36.64,115.42,74.54
5137,2024-10-11,East,Apparel,Online,1,42.4,44.52,29.13
5138,2024-10-11,West,Electronics,Online,3,150.62,451.86,260.17
5139,2024-10-11,East,Electronics,Online,4,214.13,899.34,600.22
5140,2024-10-11,South,Beauty,Online,1,21.92,16.44,10.26
5141,2024-10-11,West,Electronics,Online,2,202.83,405.67,259.78
5142,2024-10-11,East,Sports,Online,2,48.98,102.87,63.48
5143,2024-10-11,West,Electronics,Online,1,182.36,182.36,106.99
5144,2024-10-11,East,Apparel,In-Store,4,39.37,165.37,97.38
5145,2024-10-11,East,Beauty,Online,3,23.66,74.52,44.03
5146,2024-10-11,West,Electronics,In-Store,2,211.38,422.77,266.14
5147,2024-10-11,West,Apparel,Online,1,48.27,48.27,30.05
5148,2024-10-12,East,Apparel,In-Store,2,45.96,96.51,59.23
5149,2024-10-12,West,Electronics,Mobile App,1,162.48,162.48,108.75
5150,2024-10-12,West,Home & Kitchen,Mobile App,1,83.62,83.62,47.09
5151,2024-10-12,South,Electronics,In-Store,2,191.61,287.42,175.01
5152,2024-10-12,East,Beauty,Online,4,29.01,121.85,67.94
5153,2024-10-12,East,Beauty,In-Store,3,27.98,88.13,54.81
5154,2024-10-12,North,Apparel,In-Store,3,46.94,161.94,105.95
5155,2024-10-12,East,Electronics,Online,1,163.66,171.84,96.51
5156,2024-10-12,East,Sports,In-Store,1,60.12,63.12,37.19
5157,2024-10-12,North,Home & Kitchen,In-Store,2,61.99,142.58,96.13
5158,2024-10-12,North,Home & Kitchen,Online,1,74.08,85.19,49.09
5159,2024-10-12,North,Beauty,In-Store,3,31.19,107.62,64.16
5160,2024-10-13,South,Sports,Online,3,45.88,103.23,61.86
5161,2024-10-13,East,Home & Kitchen,Online,1,56.72,59.55,34.71
5162,2024-10-13,South,Electronics,Online,4,239.26,717.79,478.28
5163,2024-10-13,North,Sports,Mobile App,3,66.92,230.86,149.86
5164,2024-10-13,East,Apparel,In-Store,3,43.38,136.66,79.0
5165,2024-10-13,West,Sports,In-Store,3,60.65,181.95,121.36
5166,2024-10-13,North,Sports,In-Store,3,59.28,204.52,120.0
5167,2024-10-13,South,Sports,Mobile App,1,43.64,32.73,20.33
5168,2024-10-13,North,Beauty,Online,2,25.0,57.5,38.87
5169,2024-10-13,East,Electronics,In-Store,2,166.04,348.68,236.82
5170,2024-10-13,West,Home & Kitchen,Online,3,62.18,186.54,105.51
5171,2024-10-13,East,Sports,Online,2,52.09,109.39,71.52
5172,2024-10-13,South,Electronics,Online,1,187.02,140.26,79.79
5173,2024-10-13,North,Apparel,Online,4,46.36,213.25,141.36
5174,2024-10-14,East,Apparel,In-Store,2,38.18,80.17,45.44
5175,2024-10-14,North,Beauty,Online,1,24.27,27.91,15.95
5176,2024-10-14,North,Apparel,In-Store,2,49.31,113.42,68.89
5177,2024-10-14,South,Home & Kitchen,Online,1,66.36,49.77,28.03
5178,2024-10-14,South,Apparel,In-Store,4,36.18,108.54,67.64
5179,2024-10-14,North,Electronics,In-Store,2,198.53,456.62,308.85
5180,2024-10-14,North,Beauty,Online,1,30.2,34.73,23.32
5181,2024-10-14,West,Home & Kitchen,Online,1,53.31,53.31,35.81
5182,2024-10-14,North,Apparel,Mobile App,2,33.58,77.23,47.84
5183,2024-10-14,South,Sports,Online,2,69.73,104.59,68.79
5184,2024-10-14,East,Electronics,In-Store,2,170.96,359.02,213.11
5185,2024-10-14,West,Sports,In-Store,4,47.23,188.92,104.51
5186,2024-10-14,North,Electronics,Online,3,149.84,516.96,301.12
5187,2024-10-14,North,Electronics,Online,4,169.79,781.05,523.34
5188,2024-10-14,South,Beauty,Online,1,29.76,22.32,13.32
5189,2024-10-15,South,Electronics,Online,2,191.95,287.92,178.45
5190,2024-10-15,North,Electronics,Online,4,184.85,850.32,473.44
5191,2024-10-15,South,Apparel,In-Store,1,42.9,32.17,20.81
5192,2024-10-15,West,Sports,In-Store,4,43.46,173.83,97.22
5193,2024-10-15,West,Beauty,Online,2,29.13,58.27,35.79
5194,2024-10-15,East,Sports,Mobile App,3,54.13,170.5,114.03
5195,2024-10-15,South,Apparel,Online,4,42.08,126.24,78.18
5196,2024-10-15,West,Beauty,Online,3,31.33,93.98,58.62
5197,2024-10-15,South,Beauty,Online,3,24.05,54.12,30.81
5198,2024-10-15,West,Electronics,Online,2,192.44,384.87,256.86
5199,2024-10-15,West,Home & Kitchen,In-Store,3,71.2,213.59,132.91
5200,2024-10-15,West,Apparel,Online,3,55.76,167.29,109.39
5201,2024-10-15,East,Electronics,In-Store,4,188.37,791.17,465.45
5202,2024-10-15,West,Apparel,Online,3,33.5,100.51,68.25
5203,2024-10-15,North,Apparel,In-Store,2,32.13,73.9,41.67
5204,2024-10-15,East,Apparel,Online,4,43.48,182.6,120.88
5205,2024-10-16,East,Sports,Online,4,64.11,269.26,172.86
5206,2024-10-16,West,Electronics,Online,3,193.77,581.31,359.02
5207,2024-10-16,North,Electronics,Online,1,153.3,176.29,110.91
5208,2024-10-16,North,Sports,Online,1,46.13,53.05,30.52
5209,2024-10-16,East,Home & Kitchen,Online,3,63.54,200.16,121.77
5210,2024-10-16,West,Electronics,Online,4,170.11,680.43,430.26
5211,2024-10-16,East,Home & Kitchen,Online,3,79.15,249.32,153.35
5212,2024-10-16,East,Sports,Online,2,46.37,97.38,64.04
5213,2024-10-16,North,Electronics,Online,3,199.49,688.23,456.81
5214,2024-10-16,East,Beauty,Mobile App,3,26.81,84.47,54.31
5215,2024-10-16,East,Electronics,Online,4,210.7,884.96,597.2
5216,2024-10-16,West,Home & Kitchen,In-Store,2,63.94,127.87,86.91
5217,2024-10-16,South,Electronics,Online,2,179.51,269.26,156.5
5218,2024-10-16,South,Beauty,Online,4,24.33,73.0,43.23
5219,2024-10-16,South,Sports,Mobile App,3,63.96,143.91,88.66
5220,2024-10-16,East,Beauty,Online,1,26.59,27.91,15.57
5221,2024-10-16,West,Beauty,In-Store,1,27.88,27.88,18.42
5222,2024-10-17,West,Apparel,Mobile App,3,45.35,136.04,78.56
5223,2024-10-17,South,Sports,Online,3,50.15,112.84,66.72
